ervaring,trainingtype,500_split,2k tijd,binary_trainingtype,binary_geslacht,binary_gewichtsklasse
0,3x2000m,107.5,398.8,11,0,1
0,3x2000m,106.8,400.9,11,0,1
0,3x10',115.5,419.4,10000,0,1
0,8x3',105.7,409.9,10011,0,1
0,3x2000m,104.4,400.0,11,0,1
0,4x8',115.6,412.3,1111,0,1
0,3x2000m,107.4,407.6,11,0,1
0,1',95.1,393.0,1001,0,1
0,3x2000m,108.8,400.9,11,0,1
0,3x2000m,110.7,404.5,11,0,1
0,3x2000m,114.9,413.2,11,0,1
0,2x10',117.3,411.8,101100,0,1
0,1',95.8,400.9,1001,0,1
0,2x2000m+500m,105.3,390.0,10101,0,1
0,3x2000m,99.7,374.2,11,0,1
